Gene_Name	HBR_Rep1_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep2_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	HBR_Rep3_ERCC-Mix2_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep1_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep2_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts	UHR_Rep3_ERCC-Mix1_Build37-ErccTranscripts-chr22.bed.counts
NM_001255975	0	0	0	0	23	0
NR_045649	0	0	0	0	23	0
NM_001008496	0	0	0	0	23	0
NR_045648	0	0	0	0	23	0
NM_006440	105	125	96	169	129	132
NM_001282512	45	47	48	84	60	69
NM_005940	3	1	2	26	16	26
NR_133013	3	1	2	26	16	26
NM_001318245	1	2	0	338	325	267
NM_032608	1	2	0	338	325	267
NM_001284278	77	68	73	257	179	216
NM_012399	77	68	73	257	179	216
NM_001284277	77	68	73	257	179	216
NM_001206998	382	405	405	470	380	382
NM_032173	304	305	321	359	297	288
NM_021090	348	413	376	414	313	331
NM_153050	348	413	376	414	313	331
NM_153051	348	413	376	414	313	331
NR_110541	189	249	218	186	169	147
NM_000343	0	1	0	0	26	0
NM_001256314	0	1	0	0	21	0
NM_002473	355	406	373	1855	1179	1514
NR_110512	184	224	189	37	65	44
NR_110515	1	2	1	1	5	0
NM_001282661	320	389	326	570	500	480
NM_020831	320	389	326	570	500	480
NM_001282662	320	389	326	570	500	480
NM_001318139	243	288	252	366	306	284
NM_178136	146	152	161	280	192	240
NR_103820	146	152	161	280	192	240
NM_001278657	146	152	161	280	192	240
NM_032311	146	152	161	280	192	240
NM_022785	68	88	65	32	129	28
NM_198856	68	88	65	32	129	28
NM_001017528	26	28	30	84	62	70
NM_001017529	26	28	30	84	62	70
NM_001017530	25	26	27	81	59	68
NM_015366	25	26	27	81	59	68
NM_001198721	25	26	27	81	59	68
NM_001167621	316	402	354	615	411	506
NM_013236	316	402	354	615	411	506
NM_001284303	283	335	304	656	591	563
NM_001284304	283	335	304	656	591	563
NM_014346	283	335	304	656	591	563
NR_104292	282	333	304	656	589	561
NM_001284305	273	321	296	642	581	552
NR_122046	116	135	142	821	682	664
NR_038944	25	24	30	1	13	2
NM_001318251	0	0	0	54	49	39
NM_175878	0	0	0	54	49	39
NM_001282225	32	35	35	40	44	27
NM_001282228	32	35	35	40	44	27
NM_001282229	32	35	35	40	44	27
NM_001282226	32	35	35	40	44	27
NM_001282227	32	35	35	40	45	27
NM_001290046	290	289	333	247	231	207
NM_001290047	154	112	164	126	116	107
NM_001039366	207	229	189	167	124	123
NM_001696	207	229	189	167	124	123
NM_001039367	207	229	189	167	124	123
NM_001244572	101	120	107	117	110	117
NM_001244570	101	120	108	117	110	117
NM_001244569	101	120	108	117	110	117
NM_001244567	101	120	108	117	110	117
NM_001196	101	120	108	117	110	117
NM_197967	101	120	108	117	110	117
NM_197966	101	120	107	117	110	117
NM_015241	1096	1325	1261	604	465	457
NM_001122731	359	436	396	211	159	164
NM_001136004	243	295	276	160	117	114
NM_001193414	114	143	130	21	19	10
NM_018943	114	143	130	21	19	10
NR_110533	600	657	588	47	41	38
NR_024159	47	48	47	8	3	6
NM_005315	0	0	0	0	0	0
NM_007098	46	53	63	136	130	134
NM_001835	46	53	63	136	130	134
NM_003325	151	192	138	534	368	428
NM_053004	132	181	147	368	263	267
NM_032775	143	155	179	201	139	176
NR_033825	143	155	179	201	139	176
NM_058004	529	625	597	588	491	506
NM_004782	60	76	70	146	87	109
NR_003608	10	12	15	17	10	10
NM_002745	723	894	878	1075	721	846
NM_138957	192	223	231	472	348	347
NM_014634	102	147	125	236	188	189
NR_027293	103	131	94	162	103	147
NM_014433	326	409	349	90	94	74
NM_002073	314	389	333	89	82	73
NM_021574	295	368	344	526	366	392
NM_004327	295	368	344	526	366	392
NR_037839	11	8	9	0	13	0
NR_024448	233	281	248	267	213	223
NM_001293807	29	38	23	58	30	53
NM_001293808	29	38	23	58	30	53
NM_001293809	29	38	23	58	30	53
NM_001293810	29	38	23	58	30	53
NM_000853	29	38	23	58	30	53
NM_001293811	29	38	23	58	30	53
NM_001293812	29	38	23	58	30	53
NM_001293813	29	38	23	58	30	53
NM_001293814	29	38	23	58	30	53
NM_001201429	452	534	473	879	596	674
NM_012295	452	534	473	879	596	674
NM_001199281	452	534	473	879	596	674
NM_001254732	357	475	430	637	452	463
NM_015330	357	475	430	637	452	463
NM_001145468	357	475	430	637	452	463
NR_103546	395	527	467	697	498	503
NM_001254733	176	241	217	372	248	273
NM_016327	3	3	4	2	16	3
NR_024494	10	13	10	17	15	11
NM_001039948	316	395	340	12	53	17
NM_001098497	316	395	340	12	53	17
NM_133454	316	395	340	12	53	17
NM_001098498	316	395	340	12	53	17
NM_001145206	205	206	184	259	234	214
NM_005160	309	400	331	465	392	381
NM_001184775	616	736	645	65	140	53
NM_021115	616	736	645	65	140	53
NM_001184777	616	736	645	65	140	53
NM_001184776	616	736	645	65	140	53
NM_001184773	616	736	645	65	140	53
NM_001184774	616	736	645	65	140	53
NM_022081	121	164	191	304	215	253
NM_152841	108	146	175	259	189	219
NR_073135	121	164	191	304	215	253
NR_073136	108	146	175	259	189	219
NM_001887	0	2	1	5	5	4
NR_110543	288	307	281	187	161	155
NM_002430	53	42	41	186	157	178
NM_001145418	459	544	504	1195	1126	942
NM_145862	5	2	5	142	120	115
NM_001257387	5	2	5	142	120	115
NM_007194	5	2	5	142	120	115
NM_001005735	5	2	5	142	120	115
NM_001039570	65	73	60	80	88	85
NM_032045	68	73	66	83	94	88
NM_001267895	38	37	55	32	33	27
NM_133455	38	37	55	32	33	27
NM_145730	191	227	198	284	176	217
NM_001166019	191	227	198	284	176	217
NM_001127	191	227	198	284	176	217
NM_021076	176	248	231	25	23	20
NM_181833	216	294	254	454	342	341
NM_181828	216	294	254	454	342	341
NM_181825	90	105	107	175	169	135
NM_181829	216	294	254	454	342	341
NM_181832	216	294	254	454	342	341
NM_181831	90	105	107	175	169	135
NM_181830	216	294	254	454	342	341
NM_000268	216	294	254	454	342	341
NM_016418	216	294	254	454	342	341
NM_001003692	34	47	28	47	39	28
NM_001318129	34	47	28	47	39	28
NM_019103	34	47	28	47	39	28
NM_152510	0	1	0	2	40	1
NM_001291932	96	118	111	110	99	91
NM_012429	96	118	111	110	99	91
NM_033382	49	51	51	54	57	47
NM_001204204	96	118	111	110	99	91
NM_001193336	3	3	3	6	18	4
NM_001282738	367	485	453	266	255	220
NM_001282739	366	485	453	266	255	219
NM_030758	366	485	453	266	255	219
NM_001282740	249	336	327	211	200	174
NM_001303257	60	63	66	167	123	136
NM_001303256	60	63	66	167	123	136
NM_014941	60	63	66	167	123	136
NR_024209	93	130	117	176	146	141
NR_024210	93	130	117	176	146	141
NM_001135825	93	130	117	176	146	141
NR_024211	93	130	117	176	146	141
NR_024212	93	130	117	176	146	141
NM_152267	93	130	117	176	146	141
NM_001164502	97	110	116	119	123	96
NM_019843	97	110	116	119	123	96
NM_001164501	97	110	116	119	123	96
NM_001258327	124	153	151	224	180	189
NM_001258325	124	153	151	224	180	189
NM_001007467	124	153	151	224	180	189
NM_014775	124	153	151	224	180	189
NM_001258326	124	153	151	224	180	189
NM_173566	275	347	291	538	395	431
NM_001242897	68	117	90	138	145	109
NR_110988	68	117	90	138	145	109
NM_001242896	68	117	90	138	145	109
NM_014662	67	117	89	138	144	109
NM_001136029	67	117	89	138	144	109
NM_014227	30	51	39	29	44	17
NM_001135774	765	971	904	1323	1032	1001
NM_133633	735	936	868	1306	1005	985
NM_003490	735	936	868	1306	1005	985
NM_004737	605	711	611	734	726	591
NM_133642	605	711	611	734	726	591
NR_126356	0	0	2	134	134	117
NM_002133	13	14	9	66	48	65
NM_030641	62	51	54	321	200	252
NM_001082577	727	887	855	644	492	510
NM_001082576	727	887	855	644	492	510
NM_014309	727	887	855	644	492	510
NM_001082579	1001	1175	1175	1055	871	826
NM_001082578	1001	1175	1175	1055	871	826
NM_001031695	727	887	855	644	492	510
NM_006078	231	278	224	0	57	0
NM_001289000	1	5	0	5	20	3
NM_001289001	1	5	0	5	20	3
NM_153609	1	5	0	5	18	3
NM_002405	3	6	4	73	38	41
NR_029413	3	6	4	73	38	41
NM_001166343	3	6	4	73	38	41
NM_001172687	109	150	131	279	203	218
NM_001001560	109	150	131	279	203	218
NM_013365	109	150	131	279	203	218
NM_001172688	108	150	130	278	202	217
NM_001039141	41	46	32	218	167	181
NM_001242923	176	186	178	684	485	592
NM_016091	176	186	178	684	485	592
NM_001301130	413	532	472	354	256	262
NM_001301131	413	532	472	354	256	262
NM_003560	54	64	68	134	99	94
NM_001199562	54	64	68	134	99	94
NM_001004426	54	64	68	134	99	94
NM_001195071	248	303	263	204	156	186
NM_012264	248	303	263	204	156	186
NM_001195072	248	303	263	204	156	186
NM_007068	2	4	0	22	26	10
NM_001278208	2	4	0	19	26	8
NM_015373	43	46	40	69	62	75
NM_001002880	43	46	40	69	62	75
NM_000967	116	137	150	715	495	610
NM_001033853	116	137	150	715	495	610
NM_001003406	137	165	160	8	44	2
NM_021096	137	165	160	8	44	2
NM_152512	1	1	4	13	66	12
NM_001024843	969	1119	1010	929	714	773
NM_015088	819	959	824	761	516	596
NM_001162501	819	959	824	761	516	596
NM_022098	59	72	68	215	194	156
NM_001429	339	383	392	546	370	427
NM_002883	187	216	176	319	243	332
NM_001317930	196	224	184	329	248	339
NM_001278651	186	215	174	317	241	329
NM_005008	138	170	153	321	190	244
NM_001003796	138	170	153	321	190	244
NM_024821	29	38	40	61	39	49
NM_001304797	29	38	40	61	39	49
NM_001002876	1	2	2	64	34	50
NM_024053	1	2	2	64	34	50
NM_001304370	1	2	2	63	34	48
NM_001304372	1	2	2	63	34	48
NM_001304373	1	2	2	63	34	48
NM_005650	340	431	331	789	537	611
NM_181492	253	325	247	545	374	441
